"indie_label","n","min_owners","q1_owners","median_owners","mean_owners","q3_owners","max_owners"
"Indie",203,0.5,2.5,6.66666666666667,22.0597701149425,6.66666666666667,175
"No indie",297,0.5,1.16666666666667,6.66666666666667,19.6869809203143,6.66666666666667,175
