"cluster","n","median_owners","mean_owners","indie_ratio"
"1",64,100.2,125.875,0.453125
"2",241,1.16666666666667,3.37136929460581,0.352697095435685
"3",195,6.66666666666667,7.47008547008547,0.456410256410256
